sale_id,employee_id,product,units,price_per_unit,sale_date
1001,1,Laptop,5,1200,2023-02-15
1002,3,Keyboard,15,45,2023-02-16
1003,1,Monitor,2,350,2023-03-10
1004,9,Mouse,10,25,2023-04-11
1005,18,Laptop,3,1150,2023-05-25
1006,13,Monitor,1,370,2023-06-20
1007,5,Tablet,4,600,2023-07-08
1008,14,Keyboard,8,42,2023-08-13
1009,3,Mouse,7,27,2023-09-06
1010,1,Laptop,2,1250,2023-10-19
1011,10,Tablet,2,620,2023-11-23
1012,18,Keyboard,12,44,2023-12-01
1013,13,Monitor,3,355,2023-01-07
1014,7,Mouse,14,26,2023-03-29
1015,19,Tablet,1,615,2023-04-22
1016,2,Keyboard,6,43,2023-06-15
1017,5,Laptop,2,1170,2023-07-19
1018,8,Monitor,2,362,2023-08-28
1019,12,Mouse,11,28,2023-09-17
1020,16,Keyboard,9,40,2023-10-04
